Timestamp,Temperature[K],Resistance_CH1[Ohm],Resistance_CH2[Ohm],Resistance_CH3[Ohm],Resistance_CH4[Ohm]
2025-10-29 15:55:53,3.000031e+02,2.891459e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-29 16:12:21,2.899800e+02,2.924504e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-29 16:44:21,2.800074e+02,2.979873e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-29 17:23:14,2.700162e+02,3.044104e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-29 18:08:38,2.600299e+02,3.110371e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-29 19:00:10,2.500360e+02,3.184048e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-29 19:57:38,2.400379e+02,3.257694e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-29 21:00:58,2.300439e+02,3.342107e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-29 22:10:24,2.200422e+02,3.436294e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-29 23:26:02,2.100565e+02,3.540801e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 00:48:28,2.000560e+02,3.654454e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 02:17:30,1.900553e+02,3.770760e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 03:53:19,1.800603e+02,3.909769e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 05:36:12,1.700630e+02,4.069267e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 07:25:41,1.600642e+02,4.252576e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 09:21:40,1.500668e+02,4.467622e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 11:22:47,1.400697e+02,4.724144e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 13:29:24,1.300667e+02,5.031453e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 14:48:47,1.200275e+02,5.408946e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 16:14:38,1.100600e+02,5.873537e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 18:22:10,1.000704e+02,6.433005e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 19:35:30,9.003407e+01,7.106685e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 21:58:55,6.002005e+01,7.875114e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-30 23:40:44,2.995094e+01,8.085432e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:19:16,1.958955e+00,1.216589e+01,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:19:37,1.731779e+00,1.222552e+01,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:23:09,2.659064e+00,1.186937e+01,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:24:47,3.666744e+00,1.146547e+01,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:26:41,4.672646e+00,1.110011e+01,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:27:51,5.665145e+00,1.084254e+01,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:28:57,6.669507e+00,1.061274e+01,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:29:56,7.676312e+00,1.040296e+01,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:30:57,8.672299e+00,1.022121e+01,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:31:58,9.674765e+00,1.005919e+01,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:33:00,1.067781e+01,9.878713e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:33:54,1.167307e+01,9.751609e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:34:50,1.266908e+01,9.602118e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:35:38,1.366671e+01,9.493365e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:36:35,1.468090e+01,9.372409e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:37:25,1.567961e+01,9.263379e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:38:15,1.668309e+01,9.155169e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:39:01,1.767884e+01,9.067230e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:39:48,1.868658e+01,8.960289e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:40:32,1.968249e+01,8.889051e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:40:55,1.998940e+01,8.852022e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:41:13,2.001073e+01,8.848344e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:41:52,2.098241e+01,8.778575e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:42:31,2.197878e+01,8.701250e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:43:10,2.298417e+01,8.641175e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:43:49,2.398572e+01,8.568745e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:44:26,2.498743e+01,8.509558e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:45:04,2.599149e+01,8.458608e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:45:41,2.699134e+01,8.397319e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:46:17,2.799525e+01,8.346627e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:46:52,2.899867e+01,8.294891e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:47:28,3.000533e+01,8.247570e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:48:03,3.101086e+01,8.209110e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:48:39,3.202168e+01,8.172499e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:49:14,3.303651e+01,8.133575e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:49:50,3.404232e+01,8.102927e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:50:25,3.504822e+01,8.072331e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:51:01,3.605490e+01,8.039622e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:54:08,3.704695e+01,7.981592e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:54:46,3.803252e+01,7.963985e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:55:23,3.904059e+01,7.948378e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:56:00,4.005078e+01,7.940327e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:56:36,4.105730e+01,7.924595e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 10:59:47,4.204626e+01,7.887611e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:00:24,4.303976e+01,7.867765e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:01:02,4.405369e+01,7.881724e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:03:51,4.504563e+01,7.866867e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:04:30,4.604631e+01,7.867857e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:06:58,4.704546e+01,7.856755e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:07:37,4.804911e+01,7.853207e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:10:09,4.904538e+01,7.858639e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:10:48,5.005122e+01,7.861060e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:12:03,5.004640e+01,7.871028e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:12:57,5.207394e+01,7.858460e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:15:12,5.407350e+01,7.877882e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:17:47,5.607587e+01,7.891977e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:18:41,5.807036e+01,7.901200e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:21:54,6.007328e+01,7.924053e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:22:47,6.208039e+01,7.932553e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:27:00,6.407693e+01,8.010326e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:30:40,6.607633e+01,8.052850e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:34:15,6.807644e+01,8.094589e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:35:10,7.010076e+01,8.109038e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:39:20,7.207574e+01,8.209563e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:42:45,7.407528e+01,8.280100e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:46:11,7.607142e+01,8.345812e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:49:29,7.807436e+01,8.362970e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:52:46,8.007565e+01,8.358312e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:56:05,8.207396e+01,8.324152e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 11:59:21,8.407577e+01,8.270230e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:02:42,8.607467e+01,8.192661e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:06:02,8.807259e+01,8.095585e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:09:19,9.007453e+01,7.988888e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:12:33,9.207387e+01,7.872060e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:15:57,9.407246e+01,7.739271e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:19:12,9.607142e+01,7.609497e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:22:27,9.807310e+01,7.480640e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:25:42,1.000729e+02,7.347777e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:28:55,1.020728e+02,7.219750e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:32:06,1.040727e+02,7.094938e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:35:19,1.060730e+02,6.970521e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:38:30,1.080757e+02,6.853451e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:41:34,1.100758e+02,6.740477e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:45:00,1.120706e+02,6.620130e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:48:13,1.140718e+02,6.513187e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:51:26,1.160740e+02,6.407646e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:54:37,1.180740e+02,6.303538e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 12:57:52,1.200697e+02,6.201956e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:01:02,1.220750e+02,6.106720e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:04:07,1.240720e+02,6.012420e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:07:22,1.260732e+02,5.920242e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:10:37,1.280748e+02,5.832924e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:13:48,1.300745e+02,5.749243e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:16:58,1.320741e+02,5.668134e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:20:07,1.340755e+02,5.588503e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:23:22,1.360735e+02,5.512361e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:26:32,1.380737e+02,5.441294e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:29:41,1.400738e+02,5.370778e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:32:54,1.420704e+02,5.300570e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:35:51,1.440732e+02,5.240857e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:38:58,1.460743e+02,5.176789e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:42:10,1.480766e+02,5.112499e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:45:19,1.500766e+02,5.054195e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:48:38,1.520731e+02,4.995488e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:51:54,1.540706e+02,4.938617e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:55:06,1.560727e+02,4.885723e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 13:58:15,1.580742e+02,4.836858e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:01:30,1.600689e+02,4.784970e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:04:46,1.620740e+02,4.736346e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:08:01,1.640760e+02,4.689023e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:11:11,1.660755e+02,4.643415e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:15:00,1.680710e+02,4.591752e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:18:07,1.700748e+02,4.553024e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:21:17,1.720728e+02,4.513241e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:24:28,1.740693e+02,4.471525e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:27:45,1.760743e+02,4.432828e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:30:52,1.780706e+02,4.394435e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:34:02,1.800720e+02,4.355851e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:37:30,1.820749e+02,4.317353e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:40:30,1.840693e+02,4.280126e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:46:21,1.860796e+02,4.213263e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 14:55:30,1.880793e+02,4.130293e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:00:59,1.900776e+02,4.084755e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:05:54,1.920727e+02,4.046562e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:10:32,1.940733e+02,4.012874e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:15:05,1.960762e+02,3.982163e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:19:30,1.980729e+02,3.951583e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:23:59,2.000765e+02,3.921423e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:27:23,2.020720e+02,3.898969e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:31:00,2.040749e+02,3.873293e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:34:25,2.060738e+02,3.849819e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:37:48,2.080715e+02,3.826213e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:41:31,2.100683e+02,3.800537e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:45:19,2.120722e+02,3.776180e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:48:57,2.140726e+02,3.751380e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:52:41,2.160727e+02,3.728205e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 15:56:07,2.180741e+02,3.708906e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 16:01:14,2.200731e+02,3.679436e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 16:11:00,2.219417e+02,3.647033e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 16:12:10,2.240169e+02,3.641356e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 16:24:50,2.259357e+02,3.595792e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 16:27:12,2.279418e+02,3.587628e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 16:29:17,2.299508e+02,3.575476e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 16:30:32,2.319413e+02,3.568404e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 16:32:27,2.339553e+02,3.552208e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 16:33:39,2.359735e+02,3.542403e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 16:34:51,2.379306e+02,3.532522e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 16:36:00,2.399728e+02,3.519945e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
2025-10-31 16:37:09,2.419614e+02,3.508128e+00,XXXXXXE0,XXXXXXE0,XXXXXXE0
